Model_Type,Sample_Rate,File_Name,pesq,stoi
44khz,44100,0016.wav,4.075872421264648,0.9521263637175953
44khz,44100,0016.wav,3.859912395477295,0.8851650847387522
44khz,44100,0016.wav,3.6608779430389404,0.9654115304959172
44khz,44100,0016.wav,3.6833624839782715,0.9035833529644942
44khz,44100,0016.wav,3.591931104660034,0.9106293829377432
44khz,44100,0016.wav,3.833012342453003,0.8796770359350582
44khz,44100,0016.wav,3.681877613067627,0.9187822615985191
44khz,44100,0016.wav,4.082781791687012,1e-05
44khz,44100,0016.wav,3.688328266143799,0.8677237909975717
44khz,44100,0016.wav,3.940803289413452,0.9647640691756141
44khz,44100,0016.wav,4.101573944091797,0.9738796768486471
44khz,44100,0016.wav,3.984683036804199,0.8941388648719789
44khz,44100,0016.wav,3.799185037612915,0.9601362276197862
44khz,44100,0016.wav,3.7007453441619873,0.9605677562869539
44khz,44100,0016.wav,3.7957937717437744,0.9237940390891006
44khz,44100,0016.wav,4.197999477386475,0.8852019056261865
44khz,44100,0016.wav,4.190881729125977,0.9420783212043683
44khz,44100,0016.wav,3.6001222133636475,0.8966288445760173
44khz,44100,0016.wav,3.8931655883789062,0.9617565064421991
44khz,44100,0016.wav,3.847493886947632,0.9086734118312726
44khz,44100,0016.wav,4.053438186645508,0.9697208305012298
44khz,44100,0016.wav,3.558941125869751,0.9575267098825644
44khz,44100,0016.wav,3.712186574935913,0.8545546241022758
44khz,44100,0016.wav,3.9156405925750732,0.8445076782498343
44khz,44100,0016.wav,3.319837808609009,0.8722064698479735
44khz,44100,0016.wav,4.15998649597168,0.9086684326773049
44khz,44100,0016.wav,3.7047805786132812,0.8668654715006848
44khz,44100,0016.wav,3.892118453979492,0.943508313474586
44khz,44100,0016.wav,3.9222676753997803,0.8634631116976642
44khz,44100,0016.wav,3.8785338401794434,0.8548999782820739
44khz,44100,0016.wav,4.15217924118042,0.9005643491626846
44khz,44100,0016.wav,3.8156776428222656,0.9626082850890444
44khz,44100,0016.wav,4.0343427658081055,0.9540419962866942
